48.409,-51.433,124.06,-4.5087
48.256,-51.414,124.16,-4.4223
48.077,-51.405,124.25,-4.3452
47.896,-51.398,124.33,-4.269
47.715,-51.39,124.42,-4.1936
47.532,-51.382,124.5,-4.1192
47.349,-51.375,124.58,-4.0456
47.164,-51.368,124.66,-3.973
46.979,-51.361,124.74,-3.9012
46.793,-51.354,124.82,-3.8304
46.606,-51.348,124.89,-3.7605
46.418,-51.341,124.97,-3.6915
46.229,-51.335,125.04,-3.6235
46.039,-51.329,125.11,-3.5564
45.848,-51.323,125.19,-3.4902
45.656,-51.318,125.26,-3.425
45.464,-51.312,125.33,-3.3607
45.27,-51.307,125.4,-3.2975
45.076,-51.302,125.46,-3.2351
44.88,-51.297,125.53,-3.1738
44.684,-51.292,125.59,-3.1135
44.486,-51.287,125.66,-3.0541
44.288,-51.283,125.72,-2.9957
44.089,-51.279,125.78,-2.9383
43.889,-51.274,125.84,-2.882
43.688,-51.27,125.9,-2.8266
43.486,-51.266,125.96,-2.7723
43.283,-51.263,126.02,-2.719
43.08,-51.259,126.07,-2.6667
42.875,-51.255,126.13,-2.6154
42.669,-51.252,126.18,-2.5652
42.463,-51.249,126.24,-2.5161
42.256,-51.246,126.29,-2.4679
42.047,-51.243,126.34,-2.4209
41.838,-51.24,126.39,-2.3749
41.628,-51.237,126.43,-2.3299
41.417,-51.234,126.48,-2.2861
41.205,-51.232,126.52,-2.2433
40.993,-51.229,126.57,-2.2016
40.779,-51.227,126.61,-2.1609
40.565,-51.225,126.65,-2.1214
40.349,-51.222,126.69,-2.0829
40.133,-51.22,126.73,-2.0456
39.916,-51.218,126.77,-2.0093
39.698,-51.216,126.81,-1.9742
39.479,-51.215,126.85,-1.9401
39.259,-51.213,126.88,-1.9072
39.039,-51.211,126.91,-1.8754
38.818,-51.21,126.95,-1.8447
38.595,-51.208,126.98,-1.8151
38.372,-51.207,127.01,-1.7866
38.149,-51.205,127.04,-1.7593
37.924,-51.204,127.06,-1.7331
37.698,-51.203,127.09,-1.7081
37.472,-51.202,127.11,-1.6842
37.245,-51.201,127.14,-1.6614
37.017,-51.2,127.16,-1.6398
36.788,-51.199,127.18,-1.6193
36.559,-51.198,127.2,-1.6
36.329,-51.197,127.22,-1.5818
36.097,-51.196,127.24,-1.5648
35.866,-51.196,127.26,-1.5489
35.633,-51.195,127.27,-1.5342
35.4,-51.194,127.29,-1.5206
35.166,-51.194,127.3,-1.5082
34.931,-51.193,127.31,-1.497
34.695,-51.193,127.32,-1.4869
34.459,-51.192,127.33,-1.478
34.222,-51.192,127.34,-1.4703
33.984,-51.192,127.34,-1.4637
33.746,-51.192,127.35,-1.4583
33.507,-51.191,127.35,-1.4541
33.267,-51.191,127.36,-1.451
33.027,-51.191,127.36,-1.4491
32.785,-51.191,127.36,-1.4484
32.544,-51.191,127.36,-1.4488
32.301,-51.191,127.36,-1.4504
32.058,-51.191,127.36,-1.4532
31.814,-51.192,127.35,-1.4572
31.57,-51.192,127.35,-1.4623
31.325,-51.192,127.34,-1.4686
31.079,-51.192,127.33,-1.476
30.833,-51.193,127.32,-1.4846
30.586,-51.193,127.31,-1.4944
30.339,-51.194,127.3,-1.5053
30.091,-51.194,127.29,-1.5174
29.843,-51.195,127.27,-1.5307
29.594,-51.195,127.26,-1.5451
29.344,-51.196,127.24,-1.5607
29.094,-51.197,127.23,-1.5775
28.843,-51.198,127.21,-1.5954
28.592,-51.198,127.19,-1.6144
28.341,-51.199,127.17,-1.6346
28.089,-51.2,127.14,-1.6559
27.836,-51.201,127.12,-1.6784
27.583,-51.203,127.1,-1.7021
27.329,-51.204,127.07,-1.7268
27.075,-51.205,127.04,-1.7527
26.821,-51.206,127.01,-1.7798
26.566,-51.208,126.98,-1.8079
26.311,-51.209,126.95,-1.8372
26.055,-51.211,126.92,-1.8676
25.799,-51.212,126.89,-1.8992
25.543,-51.214,126.85,-1.9318
