Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.70282971988945E-35,1.75434327219908E-18,0.0352793425372839,0,0,0,0.397081603450482,0.000390436341830341,5.38770077391158E-37,-1.19574527113186E-36,0.000390436341830341,1.03212048564036E-20,0.000329375875681925,0,0,0,0,0,0,package://ciara5/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ciara5/meshes/base_link.STL,,Part1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_0,0.00425850389206899,0.00133995144441386,0.0910531330654277,0,0,0,0.321308800551652,0.000288220170687884,-7.8870075385222E-06,7.27371175221573E-08,0.00031080102044461,2.29116239120416E-08,0.00018993783104218,0,0,0,0,0,0,package://ciara5/meshes/link_0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ciara5/meshes/link_0.STL,,Part2-1,Coordinate System1,Axis6,joint_0,revolute,0,0,0.041,0,0,0,base_link,0,0,1,1.9613,3,-3.142,3.142,,,,,,,,
link_1,-1.01637347407526E-18,0.0810000587552482,0.0719627676881317,0,0,0,0.705361988056164,0.00308788217416799,5.05762465393326E-10,1.52549337040491E-10,0.000374499963219962,1.80217406086646E-10,0.00306719737007776,0,0,0,0,0,0,package://ciara5/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ciara5/meshes/link_1.STL,,Part3-1,Coordinate System2,Axis7,joint_1,revolute,0,0,0.091,1.5708,0,1.8757,link_0,0,0,1,3.9227,3,-2.0944,2.0944,,,,,,,,
link_2,9.10729824887824E-18,0.0810000588863843,0.0620318736990104,0,0,0,0.703791191729369,0.00307604332382897,3.72159665402518E-10,4.17407265977839E-10,0.000372967730172223,-2.08097620708596E-19,0.00305687173777506,0,0,0,0,0,0,package://ciara5/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ciara5/meshes/link_2.STL,,Part4-1,Coordinate System3,Axis8,joint_2,revolute,0,0.162,0.072,-3.1416,0,-3.1416,link_1,0,0,1,3.9227,3,-2.268,2.268,,,,,,,,
end,1.5163138553792E-08,0.00686788029864893,-0.0310555094953993,0,0,0,0.233953288068619,0.000165746967648986,-1.5321170176442E-10,-1.41288194590639E-10,0.000129233637195583,-1.08280611221715E-07,0.000155408452097507,0,0,0,0,0,0,package://ciara5/meshes/end.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ciara5/meshes/end.STL,,Part5-1,Coordinate System6,Axis9,joint_3,revolute,0,0.162,-0.031,-3.1416,0,-3.1416,link_2,0,0,1,0.98067,3,-1.919,1.919,,,,,,,,
