Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.3047E-35,0.033905,1.1704E-18,0,0,0,0.34784,0.00030423,-9.4382E-37,-3.5725E-37,0.00026302,4.9311E-21,0.00030423,0,0,0,0,0,0,package://ciara7/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ciara7/meshes/base_link.STL,,Part1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.0053016,1.7101E-05,0.084795,0,0,0,0.32209,0.00027535,-1.1347E-07,2.0251E-06,0.00031023,6.6064E-09,0.00019728,0,0,0,0,0,0,package://ciara7/meshes/link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ciara7/meshes/link_1.STL,,Part2-1,Coordinate System1,Axis1,jnt_1,revolute,0,0,0.04,0,0,0,base_link,0,0,1,1.9613,3,-1.5708,1.5708,,,,,,,,
link_2,0.0022102,0.085247,0.07203,0,0,0,0.74363,0.0033845,-7.6454E-05,2.9253E-06,0.00043764,0.00011281,0.0033235,0,0,0,0,0,0,package://ciara7/meshes/link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ciara7/meshes/link_2.STL,,Part3-1,Coordinate System2,Axis2,jnt_2,revolute,0,0,0.083609,1.5708,0,1.574,link_1,0,0,1,3.9227,3,-1.5708,1.5708,,,,,,,,
link_3,0.00064205,0.076724,0.086012,0,0,0,0.74403,0.0033894,-2.4714E-05,-9.46E-07,0.00043638,-0.00011299,0.0033261,0,0,0,0,0,0,package://ciara7/meshes/link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ciara7/meshes/link_3.STL,,Part4-1,Coordinate System3,Axis4,jnt_3,revolute,0.0041987,0.16195,0.074,-3.1416,0,3.1416,link_2,0,0,1,3.9227,3,-2.3562,2.3562,,,,,,,,
end,-7.4895E-10,0.0099327,-0.035034,0,0,0,0.28528,0.00023794,6.3275E-12,-2.4072E-11,0.0001749,-9.5075E-08,0.00020802,0,0,0,0,0,0,package://ciara7/meshes/end.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ciara7/meshes/end.STL,,Part5-1,Coordinate System4,Axis6,jnt_4,revolute,0.0013557,0.16199,-0.013,3.1416,0,-3.1416,link_3,0,0,1,1.0787,3,-2.3562,2.3562,,,,,,,,
