0.040885,0.288411,0.06,0,0,-45
0.037568,0.289047,0.06,0,0,-45
0.030934,0.289364,0.06,0,0,-45
0.029091,0.29,0.06,0,0,-45
0.033145,0.29,0.06,0,0,-45
0.04199,0.288411,0.06,0,0,-45
0.009558,0.141589,0.06,0,0,-45
0.003661,0.144131,0.06,0,0,-45
0.002555,0.144131,0.06,0,0,-45
-0.001867,0.146038,0.06,0,0,-45
-0.002236,0.146674,0.06,0,0,-45
-0.002973,0.146674,0.06,0,0,-45
-0.00629,0.148581,0.06,0,0,-45
-0.006658,0.149216,0.06,0,0,-45
-0.009607,0.150487,0.06,0,0,-45
-0.012924,0.150487,0.06,0,0,-45
-0.014398,0.149852,0.06,0,0,-45
-0.017346,0.149852,0.06,0,0,-45
-0.019558,0.149216,0.06,0,0,-45
-0.030246,0.149216,0.06,0,0,-45
-0.032457,0.149852,0.06,0,0,-45
-0.042039,0.150487,0.06,0,0,-45
-0.049779,0.146038,0.06,0,0,-45
-0.060467,0.141907,0.06,0,0,-45
-0.065995,0.140318,0.06,0,0,-45
-0.069312,0.140318,0.06,0,0,-45
-0.070786,0.142225,0.06,0,0,-45
-0.071523,0.144767,0.06,0,0,-45
-0.071523,0.150487,0.06,0,0,-45
-0.070049,0.158432,0.06,0,0,-45
-0.069312,0.159386,0.06,0,0,-45
-0.068206,0.163517,0.06,0,0,-45
-0.067101,0.165106,0.06,0,0,-45
-0.067469,0.165424,0.06,0,0,-45
-0.067101,0.167331,0.06,0,0,-45
-0.068575,0.169555,0.06,0,0,-45
-0.068575,0.171144,0.06,0,0,-45
-0.069312,0.17178,0.06,0,0,-45
-0.069312,0.173686,0.06,0,0,-45
-0.070049,0.175275,0.06,0,0,-45
-0.069681,0.175593,0.06,0,0,-45
-0.069681,0.179407,0.06,0,0,-45
-0.070418,0.180042,0.06,0,0,-45
-0.075946,0.18036,0.06,0,0,-45
-0.079631,0.181314,0.06,0,0,-45
-0.08,0.181949,0.06,0,0,-45
-0.069681,0.180996,0.06,0,0,-45
-0.068575,0.182267,0.06,0,0,-45
-0.068206,0.183856,0.06,0,0,-45
-0.065995,0.186398,0.06,0,0,-45
-0.065995,0.187352,0.06,0,0,-45
-0.068575,0.187669,0.06,0,0,-45
-0.070049,0.188623,0.06,0,0,-45
-0.075577,0.19053,0.06,0,0,-45
-0.077052,0.191801,0.06,0,0,-45
-0.078157,0.192119,0.06,0,0,-45
-0.078894,0.19339,0.06,0,0,-45
-0.077052,0.193072,0.06,0,0,-45
-0.065258,0.187987,0.06,0,0,-45
-0.057887,0.19339,0.06,0,0,-45
-0.056781,0.193708,0.06,0,0,-45
-0.054939,0.195297,0.06,0,0,-45
-0.05457,0.19625,0.06,0,0,-45
-0.055307,0.197203,0.06,0,0,-45
-0.055307,0.198792,0.06,0,0,-45
-0.056044,0.199428,0.06,0,0,-45
-0.057518,0.205148,0.06,0,0,-45
-0.058256,0.205784,0.06,0,0,-45
-0.058256,0.207055,0.06,0,0,-45
-0.05973,0.209915,0.06,0,0,-45
-0.05973,0.211186,0.06,0,0,-45
-0.061204,0.214047,0.06,0,0,-45
-0.061941,0.22072,0.06,0,0,-45
-0.062678,0.221356,0.06,0,0,-45
-0.062678,0.222309,0.06,0,0,-45
-0.064152,0.224534,0.06,0,0,-45
-0.064889,0.227076,0.06,0,0,-45
-0.066364,0.229301,0.06,0,0,-45
-0.066364,0.230254,0.06,0,0,-45
-0.067101,0.23089,0.06,0,0,-45
-0.067101,0.232161,0.06,0,0,-45
-0.067838,0.232797,0.06,0,0,-45
-0.068575,0.235339,0.06,0,0,-45
-0.071523,0.240106,0.06,0,0,-45
-0.071523,0.241059,0.06,0,0,-45
-0.072998,0.242648,0.06,0,0,-45
-0.072998,0.243602,0.06,0,0,-45
-0.074472,0.245191,0.06,0,0,-45
-0.076683,0.249004,0.06,0,0,-45
-0.077789,0.254407,0.06,0,0,-45
-0.07742,0.261081,0.06,0,0,-45
-0.075577,0.266801,0.06,0,0,-45
-0.072998,0.271568,0.06,0,0,-45
-0.070049,0.275699,0.06,0,0,-45
-0.064521,0.281102,0.06,0,0,-45
-0.060835,0.283644,0.06,0,0,-45
-0.057518,0.284915,0.06,0,0,-45
-0.050147,0.285551,0.06,0,0,-45
-0.04683,0.288729,0.06,0,0,-45
-0.042039,0.29,0.06,0,0,-45
-0.035405,0.29,0.06,0,0,-45
-0.030246,0.288729,0.06,0,0,-45
-0.025823,0.284915,0.06,0,0,-45
-0.02398,0.284915,0.06,0,0,-45
-0.0214,0.288093,0.06,0,0,-45
-0.018452,0.289364,0.06,0,0,-45
-0.015504,0.29,0.06,0,0,-45
-0.009975,0.29,0.06,0,0,-45
-0.007396,0.289682,0.06,0,0,-45
-0.00371,0.288411,0.06,0,0,-45
-0.000762,0.285551,0.06,0,0,-45
0.00145,0.285869,0.06,0,0,-45
0.0114,0.285551,0.06,0,0,-45
0.012138,0.284915,0.06,0,0,-45
0.014717,0.284597,0.06,0,0,-45
0.018034,0.282691,0.06,0,0,-45
0.021351,0.282691,0.06,0,0,-45
0.025037,0.283644,0.06,0,0,-45
0.035725,0.283644,0.06,0,0,-45
0.039779,0.282691,0.06,0,0,-45
0.040885,0.283008,0.06,0,0,-45
0.041622,0.282373,0.06,0,0,-45
0.044939,0.281737,0.06,0,0,-45
0.045307,0.282055,0.06,0,0,-45
0.046044,0.281419,0.06,0,0,-45
0.051572,0.279831,0.06,0,0,-45
0.058575,0.275699,0.06,0,0,-45
0.064472,0.270297,0.06,0,0,-45
0.067789,0.264894,0.06,0,0,-45
0.07,0.25822,0.06,0,0,-45
0.069631,0.257903,0.06,0,0,-45
0.07,0.257267,0.06,0,0,-45
0.069631,0.250593,0.06,0,0,-45
0.066683,0.247733,0.06,0,0,-45
0.065209,0.247097,0.06,0,0,-45
0.06226,0.247097,0.06,0,0,-45
0.060418,0.248051,0.06,0,0,-45
0.058206,0.250593,0.06,0,0,-45
0.057469,0.256314,0.06,0,0,-45
0.056732,0.257267,0.06,0,0,-45
0.055995,0.260127,0.06,0,0,-45
0.055258,0.260445,0.06,0,0,-45
0.053784,0.263305,0.06,0,0,-45
0.049361,0.267436,0.06,0,0,-45
0.045676,0.269979,0.06,0,0,-45
0.038305,0.272521,0.06,0,0,-45
0.036462,0.272521,0.06,0,0,-45
0.034988,0.273157,0.06,0,0,-45
0.032776,0.272839,0.06,0,0,-45
0.028722,0.273157,0.06,0,0,-45
0.027985,0.272521,0.06,0,0,-45
0.030934,0.267754,0.06,0,0,-45
0.033514,0.259809,0.06,0,0,-45
0.033514,0.251547,0.06,0,0,-45
0.032776,0.249322,0.06,0,0,-45
0.028354,0.242966,0.06,0,0,-45
0.022457,0.232797,0.06,0,0,-45
0.020983,0.229301,0.06,0,0,-45
0.019509,0.227394,0.06,0,0,-45
0.019877,0.227076,0.06,0,0,-45
0.017297,0.222309,0.06,0,0,-45
0.01656,0.221674,0.06,0,0,-45
0.012875,0.214047,0.06,0,0,-45
0.012875,0.213093,0.06,0,0,-45
0.009558,0.206102,0.06,0,0,-45
0.005872,0.196568,0.06,0,0,-45
0.005872,0.194661,0.06,0,0,-45
0.011032,0.191483,0.06,0,0,-45
0.015455,0.187987,0.06,0,0,-45
0.017297,0.188941,0.06,0,0,-45
0.020246,0.189576,0.06,0,0,-45
0.024668,0.191801,0.06,0,0,-45
0.026143,0.191801,0.06,0,0,-45
0.025405,0.19053,0.06,0,0,-45
0.019509,0.187987,0.06,0,0,-45
0.018403,0.187987,0.06,0,0,-45
0.017666,0.187352,0.06,0,0,-45
0.016929,0.187669,0.06,0,0,-45
0.016192,0.186398,0.06,0,0,-45
0.019509,0.180996,0.06,0,0,-45
0.024668,0.181314,0.06,0,0,-45
0.026511,0.181949,0.06,0,0,-45
0.030197,0.181631,0.06,0,0,-45
0.029459,0.180996,0.06,0,0,-45
0.02688,0.18036,0.06,0,0,-45
0.02172,0.180042,0.06,0,0,-45
0.019509,0.179089,0.06,0,0,-45
0.019877,0.178771,0.06,0,0,-45
0.019509,0.177818,0.06,0,0,-45
0.019877,0.173686,0.06,0,0,-45
0.018771,0.170191,0.06,0,0,-45
0.01656,0.166377,0.06,0,0,-45
0.019509,0.158432,0.06,0,0,-45
0.020983,0.150169,0.06,0,0,-45
0.020614,0.149852,0.06,0,0,-45
0.020983,0.149534,0.06,0,0,-45
0.020983,0.146356,0.06,0,0,-45
0.020246,0.141907,0.06,0,0,-45
0.018403,0.14,0.06,0,0,-45
0.018403,0.14,0.06,0,0,-45
0,0,0.3,0,0,-45
